Leukemia, 0.000151, 0.000779, 0.000269, 0.000282, 0.000516, 0.000707, 0.001264, 0.000416, 0.001, 0.000357, 0.000658, 0.0, 0.000428, 0.002, 0.000952, 0.0, 0.000328, 7.2e-05, 1.4e-05, 2.7e-05, 0.000145, 0.001, 0.000539, 0.000299, 0.000329, 0.000114, 0.001365, 0.00035, 0.000561, 6.0e-06, 0.000228, 0.000225, 7.0e-05, 0.000166, 0.000382, 0.00033, 0.000422, 0.001034, 0.00034, 0.001, 0.029863, 9.5e-05, 0.000144, 0.000287, 0.001182, 0.00047, 0.0, 0.001, 0.000265, 0.00035, 0.000935, 0.000178, 0.000409, 0.001117, 0.000437, 0.000459, 0.00023, 0.001, 0.000967, 0.000128, 0.000244, 0.026, 0.000323, 0.000114, 0.000112, 0.000445, 0.000313, 0.000148, 0.000137, 0.010295, 0.000765, 0.000199, 0.00027, 0.000302, 0.000397, 0.000171, 0.0, 0.000209, 0.000325, 0.000121, 0.049, 0.017, 0.02438, 0.025772, 0.013691, 0.031867, 0.006367, 0.008645, 0.010307, 0.000188, 0.000194, 9.7e-05, 0.000132, 0.011024, 0.016184, 0.010142, 0.039639, 0.000472, 0.011028, 0.037, 0.031879, 0.000103, 0.026074, 0.020645, 0.013414, 0.010361, 0.010896, 0.013041, 0.010995, 0.026084, 0.026084, 0.011028, 0.018009, 0.042826, 0.037074, 0.029332, 0.011571, 0.017053, 0.011992, 0.008833, 0.017588, 0.00656, 0.012444, 0.009367, 1.0, 1.0, 1.0, 1.0, 0.999615, 0.934662, 0.988013
CNS, 0.000568, 0.001, 0.000703, 0.000486, 0.000446, 0.001225, 0.000313, 0.000419, 0.000548, 0.00087, 0.000353, 0.0, 0.000623, 0.0, 0.000461, 0.0, 0.000342, 0.000583, 2.7e-05, 1.7e-05, 0.000857, 0.0, 0.000726, 0.0008, 0.000619, 0.00046, 0.000372, 0.000492, 0.000615, 1.7e-05, 0.000474, 0.001126, 0.000715, 0.001095, 0.000462, 0.000455, 0.000916, 0.000644, 0.00086, 0.000406, 0.02229, 0.000736, 0.000562, 0.001011, 0.000357, 0.00096, 0.0, 0.0, 0.000782, 0.001281, 0.000496, 0.000599, 0.000479, 0.000764, 0.000421, 0.001264, 0.000998, 0.001, 0.000733, 0.000727, 0.000834, 0.037, 0.000666, 0.000611, 0.000511, 0.001034, 0.000949, 0.000837, 0.000572, 0.016545, 0.00102, 0.000627, 0.000935, 0.001113, 0.000426, 0.000892, 0.001, 0.000434, 0.000876, 0.00066, 0.018, 0.013, 0.038084, 0.041792, 0.020459, 0.020675, 0.025748, 0.026493, 0.024879, 0.000675, 0.000826, 0.000652, 0.00062, 0.027764, 0.021555, 0.018401, 0.014, 0.000499, 0.027775, 0.018, 0.020684, 0.000545, 0.042501, 0.017065, 0.030136, 0.022002, 0.027301, 0.020235, 0.02377, 0.042519, 0.042519, 0.027775, 0.022584, 0.017969, 0.017244, 0.023987, 0.026172, 0.024315, 0.022318, 0.02348, 0.029727, 0.020975, 0.020594, 0.019623, 1.0, 1.0, 1.0, 1.0, 0.999583, 0.895705, 0.98291
Colon, 0.000247, 0.002227, 0.00048, 0.001087, 0.000112, 0.006043, 0.000513, 0.002865, 0.000349, 0.000252, 0.001517, 0.000116, 0.003297, 0.002, 0.00124, 0.000207, 0.000268, 0.001491, 2.9e-05, 1.4e-05, 0.000162, 0.001, 0.002724, 0.00592, 0.002182, 0.000471, 8.6e-05, 0.000737, 0.000473, 2.8e-05, 0.002668, 0.000626, 0.004329, 0.004419, 0.000205, 0.000417, 0.000202, 0.000921, 0.005144, 0.004, 0.033127, 0.000613, 0.00504, 0.001324, 9.5e-05, 0.000371, 0.0, 0.003, 0.000209, 0.005921, 4.3e-05, 0.000198, 0.000167, 0.000154, 0.000902, 0.000849, 0.001951, 0.0, 0.000171, 0.00012, 0.003536, 0.086, 7.6e-05, 0.000733, 0.000204, 0.000754, 0.000369, 0.005801, 0.001819, 0.007147, 7.8e-05, 0.000364, 0.000748, 0.000123, 0.001034, 0.001522, 0.0, 0.000848, 0.004, 0.001297, 0.044, 0.038, 0.064875, 0.063562, 0.003745, 0.037432, 0.065735, 0.009314, 0.063559, 0.000739, 0.000832, 0.001912, 0.000361, 0.065853, 0.003001, 0.003103, 0.0137, 0.00015, 0.065858, 0.041, 0.037435, 0.003464, 0.067217, 0.040518, 0.088079, 0.011128, 0.062273, 0.076525, 0.019693, 0.067221, 0.067221, 0.065858, 0.005524, 0.002285, 0.002543, 0.001158, 0.001825, 0.011215, 0.005483, 0.029031, 0.012637, 0.022643, 0.027619, 0.052604, 1.0, 1.0, 1.0, 1.0, 0.999935, 0.965094, 0.945568
Renal, 0.005842, 2.9e-05, 0.000554, 0.001111, 0.002048, 0.000407, 0.000759, 0.001271, 0.004104, 0.000922, 0.002495, 0.006, 0.003886, 0.003, 0.000357, 0.006, 0.006809, 8.8e-05, 0.000655, 0.007572, 0.00834, 0.002, 0.000203, 0.002578, 0.000184, 0.003508, 0.001467, 0.003029, 0.032174, 0.004149, 0.001285, 0.000334, 5.1e-05, 8.0e-06, 9.4e-05, 0.000527, 0.000167, 6.2e-05, 0.000103, 0.061, 0.002866, 0.002114, 0.002, 0.000246, 0.001348, 0.000262, 0.008, 0.001, 0.000215, 0.000316, 0.001774, 0.001055, 0.000695, 0.000119, 0.000391, 0.002616, 9.0e-05, 0.057, 0.00011, 0.000577, 0.004494, 0.031, 0.000914, 0.000272, 0.001361, 7.4e-05, 8.0e-06, 0.002003, 0.000279, 0.054712, 0.0, 0.001663, 4.3e-05, 9.1e-05, 0.000541, 1.4e-05, 0.0, 0.000171, 4.4e-05, 0.001561, 0.086, 0.106, 0.00956, 0.007604, 0.091112, 0.124193, 0.000799, 0.03, 0.061, 0.000471, 0.016578, 0.000573, 4.8e-05, 0.063992, 0.01646, 0.021232, 0.0061, 0.000756, 0.064122, 0.126, 0.124446, 0.03, 0.010097, 0.020045, 0.03123, 0.004234, 0.048192, 0.010216, 0.024342, 0.010118, 0.010118, 0.064122, 0.02593, 0.011785, 0.010835, 0.014258, 0.008996, 0.007352, 0.000754, 0.008931, 0.258537, 0.001372, 0.004347, 0.444154, 1.0, 1.0, 1.0, 1.0, 0.997966, 0.944837, 0.751563
Breast, 0.074861, 0.086059, 0.080478, 0.089601, 0.075754, 0.111186, 0.10893, 0.123437, 0.092337, 0.07001, 0.082261, 0.055, 0.051803, 0.068, 0.052529, 0.052, 0.049123, 0.131548, 0.019335, 0.035098, 0.048604, 0.131, 0.134769, 0.11889, 0.092022, 0.086055, 0.079242, 0.108672, 0.143954, 0.020675, 0.144107, 0.151277, 0.160462, 0.150064, 0.130217, 0.164187, 0.124109, 0.178462, 0.202229, 0.054, 0.188731, 0.161759, 0.216241, 0.178038, 0.081673, 0.075276, 0.049, 0.098, 0.090721, 0.084869, 0.1541, 0.132709, 0.143077, 0.129824, 0.190828, 0.235842, 0.146794, 0.048, 0.133806, 0.087441, 0.081068, 0.225, 0.269958, 0.287629, 0.097007, 0.209073, 0.213337, 0.09075, 0.118887, 0.176492, 0.252465, 0.080492, 0.268991, 0.081775, 0.067864, 0.123024, 0.039, 0.075092, 0.111183, 0.190374, 0.158422, 0.188, 0.293035, 0.259545, 0.153535, 0.151, 0.329096, 0.331756, 0.313339, 0.22356, 0.252183, 0.156966, 0.228119, 0.272382, 0.272175, 0.198954, 0.391373, 0.138819, 0.486743, 0.303, 0.27809, 0.086685, 0.254732, 0.295553, 0.186121, 0.589905, 0.277528, 0.443495, 0.390444, 0.455202, 0.455599, 0.487167, 0.165082, 0.284708, 0.29344, 0.553663, 0.179335, 0.458505, 0.467856, 0.321925, 0.517209, 0.269796, 0.243828, 0.177784, 0.976684, 0.999142, 1.0, 0.939156, 0.558636, 0.642636, 0.56919
Melanoma, 0.030492, 0.030149, 0.061736, 0.074407, 0.052834, 0.029337, 0.051114, 0.05122, 0.002992, 0.098168, 0.080313, 0.057, 0.087137, 0.026, 0.02879, 0.07, 0.058954, 0.084782, 0.003326, 0.003472, 0.017528, 0.122, 0.084103, 0.009112, 0.009364, 0.019176, 0.048452, 0.026759, 0.012211, 0.001033, 0.026123, 0.003133, 0.030066, 0.096799, 0.110838, 0.061414, 0.055327, 0.053526, 0.053637, 0.05, 0.083045, 0.000973, 0.01666, 0.028021, 0.136007, 0.068355, 0.077, 0.079, 0.057774, 0.091249, 0.171416, 0.017185, 0.044238, 0.050738, 0.016625, 0.012787, 0.077917, 0.011, 0.142424, 0.072479, 0.047945, 0.074, 0.055755, 0.019976, 0.017945, 0.128658, 0.122, 0.03, 0.084884, 0.170052, 0.179504, 0.021231, 0.064311, 0.233347, 0.260972, 0.272955, 0.233, 0.260656, 0.273285, 0.008704, 0.175, 0.192, 0.217756, 0.195785, 0.270405, 0.325212, 0.266633, 0.008631, 0.067636, 0.039962, 0.003972, 0.024202, 0.036051, 0.105779, 0.152398, 0.159138, 0.147438, 0.01576, 0.112628, 0.333, 0.346318, 0.014892, 0.340557, 0.231662, 0.251346, 0.177147, 0.060812, 0.155, 0.077185, 0.362608, 0.362659, 0.112644, 0.188285, 0.139758, 0.39231, 0.494447, 0.642759, 0.354392, 0.319711, 0.214625, 0.035223, 0.75186, 0.752769, 0.132065, 0.992521, 0.99895, 1.0, 0.996095, 0.93807, 0.599811, 0.539291
Lung, 0.206966, 0.196637, 0.215243, 0.225, 0.196575, 0.190899, 0.201899, 0.216054, 0.20826, 0.162223, 0.182038, 0.232, 0.235473, 0.134, 0.139011, 0.169, 0.152165, 0.219145, 0.192802, 0.207411, 0.17456, 0.226739, 0.257499, 0.243552, 0.250872, 0.274611, 0.265194, 0.297864, 0.238322, 0.24598, 0.328521, 0.294591, 0.194257, 0.152261, 0.169499, 0.166218, 0.278062, 0.285593, 0.305617, 0.156, 0.302196, 0.375844, 0.389911, 0.421338, 0.202761, 0.259417, 0.097, 0.099, 0.335128, 0.333085, 0.162485, 0.354756, 0.36592, 0.375126, 0.364365, 0.337115, 0.309178, 0.293, 0.286812, 0.253643, 0.207402, 0.297, 0.293235, 0.299972, 0.427562, 0.320731, 0.239763, 0.424955, 0.411772, 0.330791, 0.229841, 0.330968, 0.235122, 0.198808, 0.228168, 0.171769, 0.129, 0.121431, 0.322752, 0.537551, 0.051, 0.141, 0.189667, 0.088117, 0.249307, 0.206376, 0.233998, 0.452734, 0.24, 0.409193, 0.430096, 0.394455, 0.305893, 0.372444, 0.427332, 0.515032, 0.438906, 0.478592, 0.410803, 0.214, 0.348561, 0.264606, 0.291926, 0.39573, 0.511892, 0.36134, 0.112421, 0.477, 0.647523, 0.321993, 0.493052, 0.629044, 0.398678, 0.576502, 0.44078, 0.353225, 0.305533, 0.492906, 0.368472, 0.475152, 0.518086, 0.263978, 0.496013, 0.318739, 0.791518, 0.757733, 0.663, 0.409896, 0.448639, 0.291484, 0.13542
Ovarian, 0.000368, 8.3e-05, 0.006452, 0.001333, 0.000478, 0.003022, 0.000421, 2.0e-06, 1.0e-06, 0.000105, 1.6e-05, 0.001, 4.6e-05, 0.0, 1.0e-06, 0.0, 8.7e-05, 0.014571, 0.00256, 8.9e-05, 0.000203, 0.001, 0.001, 0.010605, 0.00029, 0.022637, 0.000905, 2.1e-05, 0.001348, 0.008981, 0.004125, 5.7e-05, 0.001087, 0.00031, 0.001282, 0.000617, 0.035477, 0.03122, 0.00018, 0.002, 0.0008, 0.0002, 0.000633, 0.00153, 0.000399, 0.056576, 0.0, 0.0, 0.02991, 0.003445, 0.000524, 0.124476, 0.103889, 0.067207, 0.109539, 0.100093, 0.098987, 0.025, 0.029609, 0.149528, 0.101858, 0.032, 0.136382, 0.160647, 0.104942, 0.089458, 0.095152, 0.012087, 7.7e-05, 0.062463, 0.03887, 0.198506, 0.045786, 0.042617, 0.0, 0.004153, 0.0, 5.6e-05, 2.2e-05, 0.00537, 0.0, 0.001, 0.102271, 0.040205, 0.001017, 0.001391, 0.003, 0.000551, 0.358834, 0.313876, 0.351192, 0.34731, 0.333855, 0.36232, 0.343473, 0.289573, 0.302256, 0.235806, 0.362403, 0.002, 0.001391, 0.357383, 0.103265, 0.011382, 0.033353, 0.443283, 0.141066, 0.001747, 0.014817, 0.103289, 0.103289, 0.362403, 0.547748, 0.650673, 0.286667, 0.376327, 0.4126, 0.866097, 0.921226, 0.958351, 0.969063, 0.040207, 0.000214, 0.986148, 1.0, 1.0, 1.0, 0.999987, 0.999769, 0.990152, 0.389251
