Leukemia, 0.000231, 0.0, 0.002, 0.0, 0.0, 4.0e-06, 2.0e-06, 5.0e-06, 6.2e-05, 0.000155, 0.037, 0.00033, 0.01097, 0.008, 0.012, 0.018341, 0.027099, 0.022, 0.010453, 0.021, 0.01, 0.012, 0.009112, 1.0, 1.0, 1.0, 0.999644, 1.0, 1.0, 1.0, 1.0
CNS, 0.0, 0.0, 0.001185, 0.0, 0.0, 3.4e-05, 1.0e-05, 1.1e-05, 0.000477, 0.000527, 0.025, 0.000489, 0.017569, 0.033, 0.019, 0.023403, 0.024721, 0.021, 0.017838, 0.03, 0.027, 0.026, 0.017121, 1.0, 1.0, 1.0, 0.999609, 1.0, 1.0, 1.0, 1.0
Colon, 0.0, 0.0, 0.007772, 0.0, 2.0e-06, 0.001413, 4.0e-06, 1.0e-06, 0.000184, 3.6e-05, 0.013, 0.000292, 0.077527, 0.187, 0.001, 0.005185, 0.012655, 0.02, 0.017538, 0.095, 0.075, 0.087, 0.001651, 1.0, 1.0, 1.0, 0.999806, 1.0, 1.0, 1.0, 1.0
Breast, 0.037262, 0.036258, 0.063087, 0.008926, 0.002145, 0.0082, 0.02805, 0.022726, 0.081062, 0.065676, 0.102, 0.173406, 0.072461, 0.135, 0.224, 0.235457, 0.220853, 0.062, 0.334795, 0.19, 0.453, 0.135, 0.334126, 0.996, 0.927, 0.9227, 0.773731, 0.955815, 0.979, 0.957, 0.855468
Renal, 0.002639, 0.002815, 0.003654, 0.0, 0.0, 6.3e-05, 0.002089, 0.000153, 0.005743, 0.00042, 0.006, 0.000126, 0.111453, 0.019, 0.005, 0.005429, 0.160734, 0.045, 0.333138, 0.002, 0.065, 0.029, 0.701628, 1.0, 1.0, 1.0, 0.999967, 1.0, 1.0, 1.0, 0.999999
Melanoma, 0.048701, 0.044398, 0.058585, 0.021804, 0.008664, 0.011008, 0.007, 0.002704, 0.045495, 0.017048, 0.05, 0.216086, 0.337656, 0.199, 0.492, 0.27658, 0.516253, 0.014, 0.114512, 0.147, 0.102383, 0.552, 0.179594, 1.0, 0.993, 0.994259, 0.987136, 0.977791, 0.947, 0.989, 0.957007
Ovarian, 0.0, 0.0, 0.000887, 0.0, 4.2e-05, 1.0e-06, 0.000243, 1.3e-05, 0.001728, 9.2e-05, 0.002, 0.0671, 0.020383, 0.001, 0.026, 0.255936, 0.045946, 0.475, 0.525999, 0.796, 0.355, 0.933, 0.141657, 1.0, 1.0, 0.99998, 0.999514, 0.999678, 1.0, 1.0, 0.996723
Lung, 0.089844, 0.087409, 0.077869, 0.038916, 0.031676, 0.06803, 0.14297, 0.164918, 0.216339, 0.249551, 0.303, 0.121328, 0.204104, 0.217, 0.11516, 0.316922, 0.407205, 0.36, 0.413769, 0.553, 0.711, 0.712, 0.171261, 0.268, 0.261, 0.189934, 0.26747, 0.429407, 0.495, 0.523, 0.525707
