S100A8|CAGA|MRP8 S100A9|CAGB|MRP14
RARA|NR1B1 SP1|TSFP1
RARA|NR1B1 SP1|TSFP1
ESR1|NR3A1|ESR HSPCA
ESR1|NR3A1|ESR HSPCA
MADH3|SMAD3 MADH4|SMAD4
MADH4|SMAD4 MADH3|SMAD3
MADH3|SMAD3 MADH3|SMAD3
MADH4|SMAD4 MADH4|SMAD4
MADH4|SMAD4 MADH4|SMAD4
MADH3|SMAD3 MADH3|SMAD3
ITGB3|GP3A ITGA2B|ITGAB|GP2B
CIB1|PRKDCIP|KIP|CIB ITGA2B|ITGAB|GP2B
AHR ARNTL
HSPCA ARNTL
HIF1A ARNT
ARNT HIF1A
ARNT EPAS1
EPAS1 ARNT
HSPCA HIF1A
HSPCA NPAS2
AR|NR3C4|DHTR NCOA4|ARA70|RFG|ELE1
AR|NR3C4|DHTR NCOA4|ARA70|RFG|ELE1
CAP2 CAP
CAP2 CAP
HS1BP1 YWHAQ
HS1BP1 YWHAQ
RXRA|NR2B1 NCOA4|ARA70|RFG|ELE1
RXRA|NR2B1 NCOA4|ARA70|RFG|ELE1
CAP CAP
CAP CAP
CAP CAP
PLP2 PLP2
HDAC4|KIAA0288 RBBP4|RBAP48
HDAC4|KIAA0288 HDAC3
HDAC5|KIAA0600 HDAC3
AP2A1 EPS15
TYK2 IFNAR1
IFNAR1 TYK2
ACVR2|ACVR2A ACVR1B
ACVR2|ACVR2A ACVRL1
MAPK8|PRKM8|JNK1 REL
CSF2RB|IL5RB|IL3RB CSF2RB|IL5RB|IL3RB
REL MAPK8|PRKM8|JNK1
REL MAPK8|PRKM8|JNK1
CDK2 CDKN1A
TOP1 NCL
NCL TOP1
HSPA1A TP53
TP53 HSPA1A
RAC1 RASGRF1|CDC25
ARHA|ARH12|RHOA|RHO12 RASGRF1|CDC25
SLBP|HBP LSM10
E2F1|RBBP3 DDB2
E2F1|RBBP3 DDB2
DDB2 E2F1|RBBP3
DDB2 DDB1
THRA|NR1A1|THRA1|ERBA1 ALIEN
THRA|NR1A1|THRA1|ERBA1 ALIEN
ALIEN THRA|NR1A1|THRA1|ERBA1
THRA|NR1A1|THRA1|ERBA1 ALIEN
THRA|NR1A1|THRA1|ERBA1 ALIEN
THRB|NR1A2|ERBA2|THR1 ALIEN
THRB|NR1A2|ERBA2|THR1 ALIEN
RARA|NR1B1 ALIEN
