Leukemia, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0e-06, 1.0e-06, 0.0, 0.0, 0.0, 3.9e-05, 0.000241, 5.8e-05, 0.000115, 0.0, 1.9e-05, 0.000183, 8.0e-05, 0.0, 0.0, 0.002419, 0.002421, 0.003, 0.001, 0.008, 0.001, 0.0, 0.011, 0.009, 0.002, 0.006091, 0.001, 0.001257, 0.003, 0.007, 0.018024, 0.011, 0.017, 0.008824, 0.023724, 0.031367, 0.010138, 0.012, 0.008, 0.0, 0.000482, 0.046887, 0.014696, 0.997203, 0.997203, 1.0, 1.0, 1.0, 1.0
CNS, 0.0, 0.0, 1.0e-06, 1.0e-06, 0.0, 2.0e-05, 2.0e-05, 0.0, 0.0, 0.0, 0.001345, 0.000406, 0.000378, 0.001548, 0.0, 0.00033, 0.001478, 0.000386, 0.001, 0.0, 0.021016, 0.02105, 0.017, 0.0, 0.018, 0.021, 0.0, 0.023, 0.036, 0.023, 0.030715, 0.001, 0.001265, 0.02, 0.031, 0.057684, 0.012, 0.072, 0.01614, 0.015835, 0.01725, 0.025579, 0.026, 0.025, 0.0, 0.001734, 0.075317, 0.020873, 0.998487, 0.998487, 1.0, 1.0, 1.0, 1.0
Renal, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0e-06, 1.0e-06, 0.0, 0.0, 0.0, 4.0e-06, 0.002352, 4.0e-06, 0.000117, 0.0, 1.2e-05, 0.002361, 0.00652, 0.0, 0.0, 0.000341, 0.000346, 0.002, 0.0, 0.004832, 0.0, 0.0, 0.005, 0.001, 0.001, 0.001316, 0.001, 0.004689, 0.001, 0.007, 0.01309, 0.025, 0.002, 0.011951, 0.013039, 0.00837, 0.179754, 0.211, 0.181, 0.039, 0.064176, 0.345044, 0.000852, 0.996449, 0.996449, 1.0, 1.0, 1.0, 1.0
Colon, 0.000761, 0.0, 0.000303, 0.000106, 0.003, 0.005737, 0.005737, 0.001, 0.0, 0.009, 0.004005, 0.000341, 0.009316, 0.00126, 0.001, 0.020473, 0.000136, 0.000751, 0.0, 0.0, 0.070261, 0.070432, 0.076, 0.0, 0.106, 0.071, 0.001, 0.153, 0.19, 0.183, 0.128092, 0.0, 0.00065, 0.016, 0.065, 0.05267, 0.307, 0.393, 0.066801, 0.146, 0.008179, 0.002575, 0.003, 0.003, 0.0, 4.3e-05, 0.015695, 0.007628, 0.998189, 0.998189, 1.0, 1.0, 1.0, 1.0
Breast, 7.3e-05, 4.8e-05, 0.000236, 0.000131, 0.0, 0.000524, 0.000562, 0.001, 0.000143, 0.004, 0.009166, 0.007792, 0.002744, 0.003357, 0.003, 0.006733, 0.025112, 0.019142, 0.006, 0.003, 0.019649, 0.026041, 0.03, 0.089, 0.086, 0.02, 0.02, 0.11, 0.07646, 0.068, 0.079614, 0.182, 0.198, 0.095, 0.11, 0.284102, 0.184, 0.217, 0.127829, 0.088157, 0.438189, 0.057, 0.069, 0.066, 0.016, 0.013946, 0.156853, 0.136395, 0.6302, 0.676826, 0.995, 0.925, 0.976113, 0.9
Melanoma, 0.0, 1.0e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0e-05, 0.0, 0.000366, 0.009805, 0.001054, 0.000412, 0.0, 0.000281, 0.003676, 0.002539, 0.0, 0.002, 0.001416, 0.001913, 0.006, 0.004, 0.033, 0.003, 0.019, 0.047, 0.005, 0.008, 0.013519, 0.027, 0.022379, 0.008, 0.2072, 0.176354, 0.126, 0.006, 0.245751, 0.470437, 0.333473, 0.013024, 0.021, 0.018, 0.000368, 0.003876, 0.177318, 0.703001, 0.624874, 0.702079, 1.0, 0.98, 0.900137, 0.498
Lung, 0.005022, 0.004365, 0.003129, 0.006446, 0.005, 0.005423, 0.003635, 0.012, 0.012453, 0.011, 0.031718, 0.066912, 0.052931, 0.055194, 0.063, 0.081711, 0.041689, 0.114966, 0.126, 0.143, 0.05523, 0.102327, 0.085, 0.122, 0.12, 0.18157, 0.219, 0.049, 0.162, 0.221, 0.306013, 0.235, 0.152081, 0.371, 0.103, 0.071714, 0.164, 0.097, 0.350127, 0.115103, 0.446783, 0.072246, 0.23, 0.251, 0.159, 0.075548, 0.145648, 0.526628, 0.124279, 0.083306, 0.684, 0.643, 0.422397, 0.422
Ovarian, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000809, 0.0, 0.0, 0.010666, 0.0, 5.0e-06, 0.0, 0.0, 0.039131, 0.036053, 0.0, 0.0, 8.0e-06, 8.0e-06, 0.0, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013747, 0.039, 0.026691, 0.001, 0.01, 0.045608, 0.002, 0.0, 0.029771, 0.012432, 0.090213, 0.857863, 0.864, 0.871, 0.726, 0.519552, 0.597383, 0.976058, 0.999861, 0.999861, 1.0, 1.0, 1.0, 1.0
